"vehicle_id","reservation_id","reservation_type"
219798,2748251,2
345928,2748627,1
380701,2794832,2
335521,2799910,2
344766,2811799,2
329626,2814410,1
166144,2817399,2
253952,2856620,2
371321,2859170,1
234663,2869232,2
253351,2873845,2
253351,2875754,2
285364,2882266,2
313902,2887668,1
348820,2915701,2
395516,2920906,1
258966,2944780,2
371321,2951617,1
185593,2952498,1
269925,2974157,2
223011,2986982,1
352755,2997591,2
418068,3000563,1
370966,3008344,2
222126,3014907,2
333353,3016943,2
343240,3037476,1
175751,3037892,2
411720,3040071,1
253348,3042108,1
269925,3044634,2
373106,3056275,2
216679,3058382,2
401551,3058423,1
244140,3060885,1
273948,3063398,2
101444,3075871,2
151223,3076289,2
391814,3076866,2
101444,3077208,2
255812,3078014,1
224095,3079098,2
167595,3080111,2
407356,3081898,1
290523,3085565,2
416092,3086815,2
330092,3089080,1
426526,3092295,2
407356,3094013,1
349856,3095371,2
427088,3096223,1
349198,3097479,1
365958,3097638,2
332783,3097640,2
403163,3097726,2
388155,3097907,2
371321,3098172,1
244140,3098318,1
421105,3100102,1
273646,3100385,2
319968,3101418,1
413428,3102533,2
219860,3104342,1
228107,3105571,1
429881,3106294,1
330092,3106394,1
384190,3107525,1
136991,3109259,1
431105,3109304,2
409974,3109838,1
342820,3110380,2
316373,3111130,1
367454,3112580,1
408092,3115123,1
342026,3116392,2
421105,3117511,1
424323,3119354,2
405386,3120602,1
425667,3120983,1
395415,3121173,1
407299,3121546,1
395484,3122834,1
169699,3122865,1
244140,3122884,1
433224,3123300,1
205913,3123621,1
420006,3126953,2
431105,3128307,1
429381,3128598,1
228107,3129978,1
409974,3130432,2
371321,3131150,1
401019,3131955,1
411464,3132337,2
401645,3132782,1
326943,3133432,1
397433,3133454,1
397433,3133813,1
327875,3135044,1
258909,3139488,1
405386,3139668,1
254535,3140566,1
214921,3141277,1
255906,3141625,1
285364,3143762,1
300344,3145609,1
327804,3146960,2
363286,3147545,2
120800,3148374,1
412837,3149378,2
395377,3150288,1
398689,3150584,2
254535,3150592,2
350112,3151402,2
317691,3152067,1
396195,3154213,2
409520,3155206,1
367999,3155376,2
283278,3159393,1
307179,3160309,2
419677,3160591,2
370072,3162321,1
273646,3162429,1
