"vehicle_id","is_delivery","actual_price","recommended_price","num_images","description_length","is_recent_model"
293264,1,88,63,2,112,0
297206,1,23,26,1,149,0
265941,1,43,42,8,73,1
345616,1,32,35,6,49,1
320164,0,47,41,5,251,1
260732,1,152,160,6,20,0
100675,1,23,32,2,71,0
392137,1,150,188,11,29,1
347220,1,251,243,6,119,1
272643,1,42,44,15,86,0
353916,1,72,49,14,10,0
383811,0,28,41,8,187,0
304866,1,28,33,5,48,0
374451,1,111,92,13,159,1
406396,1,56,47,4,96,1
316397,1,149,218,7,146,0
410373,0,63,43,2,14,0
384427,1,30,30,5,146,0
245158,1,30,30,13,132,0
116227,1,85,117,15,94,1
359467,1,32,39,1,14,0
291417,1,41,48,9,87,0
225017,0,120,76,7,141,0
413752,0,25,35,4,14,0
414870,0,36,30,14,11,0
173419,1,94,81,8,17,0
88051,1,35,32,8,142,0
410534,1,49,69,4,312,1
233038,0,49,55,8,14,0
354341,1,94,82,12,281,1
415873,1,84,70,1,10,1
162478,1,56,41,3,245,0
424477,1,52,75,15,180,0
280831,0,35,33,3,52,0
313039,0,33,35,4,98,0
416128,1,115,122,9,184,0
222059,1,58,69,8,10,1
367880,1,36,38,2,164,0
320489,1,200,171,11,279,1
368504,1,38,33,5,75,0
312986,1,24,38,3,37,1
294070,0,46,69,3,58,0
362061,0,67,60,11,170,1
327798,1,50,52,7,36,0
209143,1,43,42,6,87,0
123665,1,59,65,17,130,1
262077,1,129,178,9,148,1
252692,0,49,45,3,29,0
369606,1,37,35,8,150,0
226031,1,135,145,3,98,0
406304,1,43,55,13,160,0
232986,1,47,46,15,10,0
269777,1,48,49,10,33,0
344704,1,50,43,5,17,0
415319,1,160,192,14,45,1
420430,1,29,32,8,203,0
187223,1,36,38,5,46,0
395811,1,39,39,13,26,1
300948,1,22,22,11,215,0
360450,1,30,36,6,28,0
247238,1,46,42,6,10,0
302523,1,62,43,2,140,0
341286,0,55,51,10,18,1
427468,1,54,50,10,118,0
372629,1,155,188,16,33,0
308208,1,45,64,7,14,1
253915,1,67,63,11,213,1
403603,1,29,38,11,12,0
371553,0,112,74,12,10,0
406702,1,69,57,10,80,0
223610,0,36,36,6,111,0
395947,1,43,51,8,11,1
162707,1,45,41,15,96,0
406800,1,42,38,8,92,0
424628,1,36,34,7,162,0
291925,0,220,124,3,27,1
345588,0,46,43,6,16,0
358710,0,43,35,1,11,1
379898,0,39,40,7,335,0
344417,1,89,78,13,218,1
156051,1,40,39,4,119,0
391280,1,54,60,17,13,0
334998,1,68,72,13,39,1
198113,1,24,30,14,47,0
434112,1,73,94,12,10,1
225943,1,37,41,10,21,1
283910,1,68,61,15,37,0
390644,1,26,25,12,22,0
304123,1,168,124,14,14,0
425207,1,158,117,16,20,1
374472,0,102,162,3,635,1
415935,0,38,37,8,40,0
299952,1,45,43,4,261,0
371530,1,65,82,8,102,1
144002,1,60,53,5,103,0
358069,1,39,49,5,101,0
432513,0,72,81,18,11,1
351744,1,91,107,6,125,1
144840,1,120,145,18,475,0
368241,1,62,55,10,92,1
301450,1,56,43,11,83,0
268175,1,27,31,3,10,0
329765,1,40,34,7,317,0
394843,1,98,76,20,39,1
264503,1,310,205,14,23,1
312497,1,107,63,9,50,0
432449,1,21,34,6,12,0
422726,1,29,27,6,159,0
390246,1,39,34,7,129,0
402162,0,61,67,5,272,0
287206,1,140,146,21,24,0
170015,1,138,195,11,10,1
320029,1,58,54,15,318,0
426179,1,88,133,16,190,1
326657,1,99,86,5,10,1
398412,0,49,48,2,79,1
387323,1,31,36,9,48,0
238158,1,61,57,8,36,1
264622,1,34,40,10,10,0
346817,0,34,45,9,83,0
349529,1,86,82,19,32,1
337326,1,49,73,9,249,1
326144,1,30,25,15,10,0
262612,0,70,72,6,138,0
287388,0,31,32,13,104,1
189766,1,90,88,3,70,0
344681,1,29,34,6,181,0
394806,0,32,35,8,130,0
203147,1,84,71,1,17,0
259007,0,35,35,9,10,0
389531,1,106,98,10,31,1
387068,0,72,57,5,69,0
343101,1,49,40,4,11,0
388763,1,33,37,9,80,1
422922,1,106,140,17,214,1
394740,1,58,55,8,10,0
395066,1,148,75,9,62,1
265243,0,35,39,11,396,0
399355,1,290,268,15,368,1
282450,1,29,46,20,251,0
357063,1,29,28,14,72,0
308542,0,111,72,14,66,0
284392,1,41,38,11,239,0
404071,0,37,39,15,341,1
344390,1,60,59,2,26,1
395185,1,57,44,1,63,0
421598,1,38,39,2,23,0
357237,1,43,41,7,169,0
390455,1,76,83,5,10,1
236322,1,35,33,8,105,0
255477,0,46,37,5,205,1
431262,1,40,52,16,267,1
338522,1,52,54,17,123,0
398766,0,41,38,7,201,0
153854,1,120,85,6,59,0
367133,0,68,77,1,83,0
356848,1,49,44,12,41,0
328097,1,31,33,4,10,0
361268,1,24,24,4,27,0
171753,0,34,38,6,12,0
357741,1,52,36,11,24,0
348173,1,39,25,13,44,0
375361,1,92,177,1,98,1
257645,1,79,64,9,50,1
305584,1,39,35,3,63,0
95240,1,72,44,12,10,0
316278,1,35,37,8,64,1
418514,1,40,38,10,291,0
410565,0,33,32,1,82,0
276518,1,33,33,9,93,1
360394,1,57,92,8,164,1
241878,1,52,78,13,38,1
382016,0,33,44,6,146,0
59823,1,37,40,11,10,0
243988,1,119,156,20,479,1
350278,1,42,46,16,64,1
335252,0,38,40,3,17,1
416164,1,59,68,7,37,1
373789,1,158,245,15,224,0
367372,0,53,81,10,130,0
266189,0,57,41,3,31,1
380116,0,83,94,1,72,1
319648,1,40,31,11,20,1
387106,1,41,46,9,56,0
364336,1,30,40,3,20,0
383772,1,88,68,2,144,0
420075,1,70,74,4,218,1
348940,1,34,32,8,82,0
376548,1,46,53,15,17,0
329036,0,36,32,8,30,0
347947,1,65,65,5,439,0
386017,0,33,33,10,403,0
246351,1,36,170,20,631,0
428367,0,55,62,9,60,1
385009,1,34,30,13,52,0
259957,0,35,46,1,52,0
307328,1,72,78,20,71,0
186202,1,168,178,13,177,1
325159,0,31,36,5,34,0
153437,1,54,42,5,10,1
220186,1,33,37,3,70,1
235544,0,30,49,14,98,0
349845,1,30,36,11,215,0
172739,1,40,44,15,80,0
379560,0,33,34,9,59,0
431056,1,51,63,7,298,0
254569,1,31,30,9,221,0
425924,1,50,46,4,34,0
428984,1,57,63,18,364,1
416492,0,83,82,3,78,1
429351,0,57,104,11,71,0
345146,0,28,27,5,148,0
151278,1,76,61,14,11,0
256286,1,64,63,10,22,1
382696,1,34,41,7,57,1
43000,1,140,94,2,10,0
339562,1,100,74,10,78,1
58453,1,24,23,16,272,0
168157,1,102,87,9,73,1
287567,0,27,37,7,13,0
259777,1,36,34,15,39,0
264804,1,40,40,10,10,0
154615,1,47,44,9,178,0
379048,0,36,42,7,18,1
415835,0,32,32,5,10,0
311496,1,59,64,10,139,1
386018,0,56,42,3,72,1
409786,1,83,70,11,33,0
391369,1,144,154,5,72,1
389685,1,22,31,10,200,0
418729,1,31,26,17,10,0
233063,1,225,245,15,329,0
281277,1,67,67,7,10,0
412882,0,26,25,9,10,0
221557,0,28,29,5,32,0
295202,1,94,48,5,20,0
284986,1,83,31,4,81,0
335672,1,153,104,20,82,0
432468,1,53,65,12,93,1
380804,1,61,60,6,105,0
251894,1,59,43,13,185,1
411401,0,96,86,8,200,0
267954,1,171,143,17,86,0
337220,0,24,32,4,212,0
434104,0,31,57,15,35,1
249827,0,159,77,8,88,1
368251,1,54,65,3,203,1
315463,1,46,45,9,111,0
366134,1,49,41,13,36,1
363051,1,27,35,7,550,1
389930,0,80,100,9,164,0
396568,0,35,31,5,51,0
421288,1,50,53,14,44,1
177541,0,20,23,5,147,0
432399,1,145,122,6,290,1
325568,1,159,166,4,35,0
423574,1,29,26,16,70,0
236850,1,32,28,7,43,0
402184,1,59,61,6,42,1
362765,1,30,34,14,23,0
398186,0,164,196,11,54,1
114150,1,43,62,5,94,0
369726,1,40,47,9,129,0
415576,1,57,55,8,69,0
249981,1,39,26,5,52,0
379647,1,206,185,11,44,0
150631,1,75,50,3,194,0
394459,1,48,76,6,10,1
414687,1,220,226,13,16,0
388715,1,35,27,13,42,0
431874,0,70,87,2,26,0
417280,0,20,25,20,77,0
388862,0,25,30,8,12,1
113703,0,30,35,5,134,0
387543,0,48,40,1,19,0
200926,1,119,136,20,28,0
321150,1,48,43,10,220,1
244270,1,34,33,5,83,0
310867,1,109,112,17,29,0
235233,0,37,38,1,10,0
363551,1,57,59,8,65,1
307751,1,40,48,8,194,0
415634,1,45,40,9,143,0
159940,0,49,42,1,10,0
317809,1,74,57,8,10,0
337057,1,45,38,9,319,1
337518,1,95,144,5,16,0
257552,1,61,54,6,121,1
383638,1,46,49,17,101,1
275012,0,64,71,7,59,0
254637,1,113,125,14,278,0
301977,1,149,172,16,66,0
294149,0,46,36,12,79,0
377960,1,161,178,20,69,0
434351,0,45,62,11,179,0
432204,1,56,80,11,56,0
265603,0,28,31,10,137,1
350732,1,57,45,20,118,0
371482,1,174,147,11,71,0
371419,1,20,28,3,136,0
399956,1,39,45,8,10,0
306697,1,67,56,17,78,0
388895,1,40,49,15,12,1
311145,1,55,74,10,10,1
404503,0,98,72,3,35,1
376046,1,41,41,10,434,0
414764,1,199,100,17,77,1
258382,1,34,35,11,29,0
52676,0,27,31,1,10,0
209719,1,141,132,15,209,1
136163,1,95,66,6,49,0
183513,1,28,39,17,235,0
305218,1,79,68,5,91,1
406717,1,38,40,14,85,0
321166,0,75,51,5,50,0
238046,1,35,48,8,167,1
244148,1,95,65,5,10,1
231436,1,178,228,5,36,1
305098,1,29,25,10,279,0
368520,1,87,87,14,65,1
232514,1,111,103,19,86,1
333367,1,36,38,4,241,1
393362,1,68,76,11,31,0
201292,1,140,212,17,157,1
410525,1,46,74,18,34,0
392805,1,145,144,20,10,1
350684,0,54,79,16,18,0
399672,0,29,32,4,30,0
384811,1,33,29,3,158,0
322083,0,89,77,11,22,1
399245,1,24,37,9,35,0
251553,1,30,35,3,138,1
198408,1,57,42,5,22,0
31842,1,30,28,5,186,0
244557,1,20,25,2,118,0
351485,1,35,58,13,23,0
338609,1,74,63,1,347,0
217998,1,69,37,8,24,0
359839,1,80,59,7,29,1
381672,1,51,90,13,60,1
409288,1,179,92,4,10,1
364315,0,28,27,15,209,0
402061,1,63,48,10,84,0
401518,1,29,29,9,450,0
385780,0,49,49,10,27,1
430331,1,63,96,17,35,1
297372,1,50,42,4,176,0
48761,1,65,76,11,12,0
370990,1,94,89,4,226,0
432517,0,53,74,15,451,1
411029,1,50,40,14,110,1
393842,1,65,44,5,269,0
420404,1,127,59,5,189,0
305045,1,46,98,11,55,1
259126,0,55,54,11,168,0
409448,0,26,32,1,48,0
406860,1,148,171,20,54,0
159155,1,61,88,6,148,0
394189,0,40,58,4,49,1
176679,1,118,138,3,54,1
288500,1,172,81,7,80,0
405449,1,37,41,5,135,0
386589,1,83,67,3,370,0
114164,1,256,116,18,58,0
317581,1,99,93,8,12,0
427961,1,30,36,1,33,0
109925,1,90,82,15,121,0
370911,1,97,62,3,113,0
432345,1,36,35,16,141,0
80493,0,41,41,3,40,0
256446,1,99,86,6,80,1
364284,1,35,46,8,37,0
245825,1,12,35,3,94,0
425871,1,49,42,11,76,0
370643,1,123,70,7,135,0
238497,1,41,37,6,80,0
329362,1,26,33,8,102,0
364853,0,163,57,8,45,1
383838,1,48,39,4,103,0
399561,1,47,46,16,33,1
286647,1,24,28,13,80,0
425200,1,50,43,13,240,1
303447,1,57,48,13,122,1
367384,1,41,47,17,117,1
426250,1,41,40,1,319,0
134850,1,59,62,3,55,0
347521,0,29,34,3,192,1
334214,1,76,74,16,87,0
236122,1,76,62,15,29,1
346306,1,34,39,12,84,1
240632,0,76,62,9,32,0
368880,1,44,42,8,27,0
289306,1,40,42,5,132,1
433669,1,27,34,6,56,1
357552,1,50,41,13,30,1
174376,1,259,227,10,57,1
394463,1,36,45,6,258,1
155189,1,71,66,12,35,0
421306,0,41,36,2,10,0
308004,1,34,32,13,74,1
289115,1,63,44,5,141,0
381018,1,46,35,20,118,0
354581,1,21,30,15,240,0
350745,1,47,56,9,22,0
58262,1,40,67,1,112,0
284406,0,57,56,12,185,1
357516,1,54,59,12,37,1
409161,1,28,30,9,45,0
216351,1,54,44,12,178,1
428925,1,138,158,20,63,0
424992,0,30,34,14,11,0
276212,1,48,37,9,172,0
92723,1,73,46,11,63,0
133706,1,30,32,9,56,0
298670,1,60,41,18,207,1
423749,0,20,24,4,278,0
267034,1,33,39,19,260,1
365179,0,30,40,4,102,0
208641,1,79,100,20,10,1
288902,1,60,51,3,59,0
261118,0,50,45,1,35,0
284554,1,29,31,4,139,0
379509,1,44,42,6,10,0
416726,0,35,36,7,38,0
420540,1,43,77,11,694,1
253220,1,32,35,9,10,1
53759,1,180,175,17,57,0
394038,1,53,45,6,27,1
413450,1,65,72,18,176,0
400916,1,139,111,12,96,1
207528,1,119,92,10,10,1
237215,1,81,54,6,29,1
382951,1,44,48,12,10,0
256918,0,45,37,2,146,0
323369,0,101,119,4,73,0
347241,1,40,59,14,10,0
362994,1,29,35,15,29,1
403677,0,24,33,5,151,1
354128,0,20,53,4,76,1
360546,1,34,42,11,57,0
282197,0,294,174,12,25,0
358064,0,43,44,8,61,0
391925,1,34,35,6,53,1
424347,0,85,93,5,70,1
199268,1,38,40,6,59,0
